"";"Ano";"UF";"CAPITAL";"RM_RIDE";"V1008";"V1012";"V1013";"V1016";"Estrato";"UPA";"V1022";"V1023";"V1030";"V1031";"V1032";"posest";"A001";"A001A";"A001B1";"A001B2";"A001B3";"A002";"A003";"A004";"A005";"B0011";"B0012";"B0013";"B0014";"B0015";"B0016";"B0017";"B0018";"B0019";"B00110";"B00111";"B00112";"B002";"B0031";"B0032";"B0033";"B0034";"B0035";"B0036";"B0037";"B0041";"B0042";"B0043";"B0044";"B0045";"B0046";"B005";"B006";"B007";"C001";"C002";"C003";"C004";"C005";"C0051";"C0052";"C0053";"C006";"C007";"C007A";"C007B";"C007C";"C007D";"C007E";"C007E1";"C007E2";"C008";"C009";"C010";"C0101";"C01011";"C01012";"C0102";"C01021";"C01022";"C0103";"C0104";"C011A";"C011A1";"C011A11";"C011A12";"C011A2";"C011A21";"C011A22";"C012";"C013";"C014";"C015";"C016";"C017A";"D0011";"D0013";"D0021";"D0023";"D0031";"D0033";"D0041";"D0043";"D0051";"D0053";"D0061";"D0063";"D0071";"D0073";"F001";"F0021";"F0022";"F0061";"F006"
"2489";2020;11;NA;NA;1;1;5;1;1151020;110009879;2;4;90903;177,68323948;185,2383728;1126;2;2;25;5;1969;50;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;8;1;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
"2490";2020;11;NA;NA;1;1;5;1;1151020;110009879;2;4;157421;177,68323948;242,28353715;1113;3;4;22;10;1993;26;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;12;1;NA;NA;NA;44;44;1;1;5;2000;NA;NA;NA;NA;NA;1;1;5;2000;NA;NA;NA;1;NA;1;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
"2491";2020;11;NA;NA;1;1;5;1;1151020;110009879;2;4;146160;177,68323948;246,47853472;1112;4;10;18;5;2007;12;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
"2492";2020;11;NA;NA;3;3;5;1;1151020;110009879;2;4;32568;177,68323948;145,58785643;1118;1;1;12;7;1944;75;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;12;1;NA;NA;NA;50;50;1;1;2;600;NA;NA;NA;NA;NA;1;1;2;600;NA;NA;NA;1;NA;2;NA;NA;NA;1;2100;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;2
"2493";2020;11;NA;NA;3;3;5;1;1151020;110009879;2;4;54453;177,68323948;158,92449432;1127;2;2;16;3;1953;67;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;12;1;NA;NA;NA;20;20;1;1;2;500;NA;NA;NA;NA;NA;1;1;2;500;NA;NA;NA;1;NA;2;NA;NA;NA;1;2100;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;2
"2494";2020;11;NA;NA;6;1;5;1;1151020;110009879;2;4;122285;177,68323948;218,17315961;1115;1;1;6;2;1977;43;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;12;1;NA;NA;NA;44;44;1;1;5;2000;NA;NA;NA;NA;NA;1;1;5;2000;NA;NA;NA;1;NA;1;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
"2495";2020;11;NA;NA;6;1;5;1;1151020;110009879;2;4;150235;177,68323948;210,50825849;1124;2;2;3;8;1986;33;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;8;1;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
"2496";2020;11;NA;NA;6;1;5;1;1151020;110009879;2;4;157421;177,68323948;242,28353715;1113;3;4;20;8;1999;20;1;4;5;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;8;NA;NA;12;1;NA;NA;NA;44;44;1;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
"2497";2020;11;NA;NA;6;1;5;1;1151020;110009879;2;4;139963;177,68323948;199,77699555;1122;4;4;14;6;2004;15;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;1;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
"2498";2020;11;NA;NA;6;1;5;1;1151020;110009879;2;4;146160;177,68323948;246,47853472;1112;5;4;17;8;2009;10;1;4;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
